code,name,signal_date,entry_date,entry_price,exit_price,return,days,reason,scan_close
440910,Stock,2026-03-06,2026-03-10,27945.0,27350.0,-2.1291823224190374,5,time_exit,27780.0
441640,Stock,2026-03-06,2026-03-10,12693.0,12795.0,0.8035925313164737,5,time_exit,12959.0
444490,Stock,2026-03-06,2026-03-10,18840.0,18900.0,0.3184713375796179,5,time_exit,19135.0
453640,Stock,2026-03-06,2026-03-10,13575.0,13545.0,-0.22099447513812157,5,time_exit,13710.0
455030,Stock,2026-03-06,2026-03-10,12580.0,12805.0,1.7885532591414943,5,time_exit,12645.0
455960,Stock,2026-03-06,2026-03-10,12590.0,12845.0,2.0254169976171568,5,time_exit,12650.0
456200,Stock,2026-03-06,2026-03-10,62635.0,63555.0,1.4688273329608048,5,time_exit,62810.0
456610,Stock,2026-03-06,2026-03-10,62570.0,63675.0,1.766022055298066,5,time_exit,62865.0
456880,Stock,2026-03-06,2026-03-10,12685.0,12915.0,1.8131651556957036,5,time_exit,12755.0
458730,Stock,2026-03-06,2026-03-10,14425.0,14535.0,0.7625649913344887,5,time_exit,14585.0
460270,Stock,2026-03-06,2026-03-10,13105.0,13330.0,1.716901945822205,5,time_exit,13135.0
460660,Stock,2026-03-06,2026-03-10,11854.0,11809.0,-0.37961869411169225,5,time_exit,12164.0
463690,Stock,2026-03-06,2026-03-10,19665.0,19615.0,-0.25425883549453343,5,time_exit,20000.0
464470,Stock,2026-03-06,2026-03-10,54858.0,54354.0,-0.9187356447555507,5,time_exit,54828.0
465670,Stock,2026-03-06,2026-03-10,14645.0,14530.0,-0.7852509388869922,5,time_exit,14910.0
468370,Stock,2026-03-06,2026-03-10,11725.0,11855.0,1.1087420042643923,5,time_exit,11745.0
468380,Stock,2026-03-06,2026-03-10,11680.0,11790.0,0.9417808219178082,5,time_exit,11745.0
468630,Stock,2026-03-06,2026-03-10,12005.0,11960.0,-0.3748438150770512,5,time_exit,12010.0
469900,하나31호스팩,2026-03-06,2026-03-10,2090.0,2095.0,0.23923444976076555,5,time_exit,2115.0
472870,Stock,2026-03-06,2026-03-10,8104.0,7954.0,-1.8509378084896346,5,time_exit,8109.0
473330,Stock,2026-03-06,2026-03-10,9324.0,9270.0,-0.5791505791505791,5,time_exit,9319.0
475250,하나33호스팩,2026-03-06,2026-03-10,2085.0,2105.0,0.9592326139088728,5,time_exit,2115.0
475350,Stock,2026-03-06,2026-03-10,13975.0,14095.0,0.8586762075134168,5,time_exit,14180.0
476750,Stock,2026-03-06,2026-03-10,8719.0,8525.0,-2.2250258057116645,5,time_exit,8709.0
476760,Stock,2026-03-06,2026-03-10,10234.0,10135.0,-0.9673636896619113,5,time_exit,10234.0
478150,Stock,2026-03-06,2026-03-10,22450.0,22725.0,1.2249443207126949,5,time_exit,22960.0
481340,Stock,2026-03-06,2026-03-10,10049.0,9914.0,-1.3434172554483033,5,time_exit,10044.0
483290,Stock,2026-03-06,2026-03-10,10528.0,10657.0,1.2253039513677813,5,time_exit,10637.0
485810,Stock,2026-03-06,2026-03-10,10365.0,10440.0,0.723589001447178,5,time_exit,10495.0
488500,Stock,2026-03-06,2026-03-10,12245.0,12200.0,-0.36749693752552065,5,time_exit,12510.0
489000,Stock,2026-03-06,2026-03-10,9840.0,9905.0,0.660569105691057,5,time_exit,9880.0
489250,Stock,2026-03-06,2026-03-10,12369.0,12510.0,1.1399466407955372,5,time_exit,12564.0
490490,Stock,2026-03-06,2026-03-10,11429.0,11495.0,0.5774783445620789,5,time_exit,11509.0
491630,Stock,2026-03-06,2026-03-10,10110.0,10115.0,0.04945598417408506,5,time_exit,9995.0
494210,Stock,2026-03-06,2026-03-10,10613.0,10633.0,0.1884481296523132,5,time_exit,10747.0
494840,Stock,2026-03-06,2026-03-10,15265.0,15495.0,1.5067147068457254,5,time_exit,15580.0
496770,Stock,2026-03-06,2026-03-10,20635.0,21400.0,3.707293433486794,5,time_exit,20700.0
499150,Stock,2026-03-06,2026-03-10,10384.0,10369.0,-0.14445300462249613,5,time_exit,10609.0
007530,와이엠,2026-03-10,2026-03-12,2440.0,2490.0,2.0491803278688523,5,time_exit,2430.0
008040,사조동아원,2026-03-10,2026-03-12,1134.0,1077.3,-5.0,5,stop_loss,1123.0
008350,남선알미늄,2026-03-10,2026-03-12,1298.0,1427.8000000000002,10.0,1,take_profit,1329.0
040160,누리플렉스,2026-03-10,2026-03-12,9080.0,9988.0,10.0,1,take_profit,9350.0
093640,케이알엠,2026-03-10,2026-03-12,4940.0,5434.0,10.0,1,take_profit,5500.0
095700,제넥신,2026-03-10,2026-03-12,4695.0,4575.0,-2.5559105431309903,5,time_exit,4920.0
248270,Stock,2026-03-10,2026-03-12,25835.0,25345.0,-1.8966518289142635,5,time_exit,25925.0
